  Epoch  	  Iteration  	  Time Elapsed  	  Mini-batch Accuracy 	  Mini-batch Loss 	  Base Learning Rate 			  Mini-batch Accuracy 
1	1	       00:00:00 	28.89%	10.9887	0.01			28.89;
2	2	       00:00:00 	35.56%	10.1603	0.01			35.56;
3	3	       00:00:00 	27.78%	10.1517	0.01			27.78;
4	4	       00:00:00 	43.33%	8.5769	0.01			43.33;
5	5	       00:00:00 	46.67%	8.0399	0.01			46.67;
6	6	       00:00:00 	50.00%	7.6402	0.01			50;
7	7	       00:00:00 	50.00%	6.9532	0.01			50;
8	8	       00:00:00 	50.00%	7.6686	0.01			50;
9	9	       00:00:00 	42.22%	8.2033	0.01			42.22;
10	10	       00:00:00 	45.56%	8.0291	0.01			45.56;
11	11	       00:00:00 	44.44%	8.1877	0.01			44.44;
12	12	       00:00:00 	47.78%	7.857	0.01			47.78;
13	13	       00:00:00 	42.22%	8.3866	0.01			42.22;
14	14	       00:00:00 	55.56%	6.6229	0.01			55.56;
15	15	       00:00:00 	54.44%	6.9354	0.01			54.44;
16	16	       00:00:00 	51.11%	6.5749	0.01			51.11;
17	17	       00:00:00 	60.00%	5.0329	0.01			60;
18	18	       00:00:00 	61.11%	5.3147	0.01			61.11;
19	19	       00:00:00 	63.33%	5.0368	0.01			63.33;
20	20	       00:00:00 	58.89%	5.321	0.01			58.89;
21	21	       00:00:00 	56.67%	6.2972	0.01			56.67;
22	22	       00:00:00 	62.22%	5.0127	0.01			62.22;
23	23	       00:00:00 	60.00%	5.2049	0.01			60;
24	24	       00:00:00 	64.44%	4.3105	0.01			64.44;
25	25	       00:00:01 	65.56%	4.3383	0.01			65.56;
26	26	       00:00:01 	65.56%	4.3291	0.01			65.56;
27	27	       00:00:01 	64.44%	4.3374	0.01			64.44;
28	28	       00:00:01 	52.22%	6.0507	0.01			52.22;
29	29	       00:00:01 	56.67%	5.1906	0.01			56.67;
30	30	       00:00:01 	58.89%	5.3212	0.01			58.89;
31	31	       00:00:01 	67.78%	3.5632	0.01			67.78;
32	32	       00:00:01 	58.89%	4.2023	0.01			58.89;
33	33	       00:00:01 	56.67%	3.6484	0.01			56.67;
34	34	       00:00:01 	64.44%	3.2161	0.01			64.44;
35	35	       00:00:01 	67.78%	2.548	0.01			67.78;
36	36	       00:00:01 	67.78%	2.5293	0.01			67.78;
37	37	       00:00:01 	64.44%	2.7123	0.01			64.44;
38	38	       00:00:01 	70.00%	2.0751	0.01			70;
39	39	       00:00:01 	63.33%	1.954	0.01			63.33;
40	40	       00:00:01 	65.56%	1.5068	0.01			65.56;
41	41	       00:00:01 	75.56%	1.3215	0.01			75.56;
42	42	       00:00:01 	66.67%	1.812	0.01			66.67;
43	43	       00:00:01 	64.44%	2.45	0.01			64.44;
44	44	       00:00:01 	68.89%	2.0528	0.01			68.89;
